Time,Tx,Ty,Tz,Roll,Pitch,Yaw,S0_L0,S0_L1,S0_L2,S0_L3
1779277430.02042,4.0,-5.0,4.0,0,0,0,13.700090480234776,13.726104931209187,13.629001046614608,11.228254871418702
1779277430.0235708,4.0,-5.0,4.0,0,0,0,13.699909364272518,13.726104931209187,13.629001046614608,11.228254871418702
1779277430.7544258,5.0,-5.0,4.0,0,0,0,13.699195284903674,13.72935242912389,13.65159209401798,10.811654198033917
1779277430.7582476,5.0,-5.0,4.0,0,0,0,13.699105597721855,13.729343776826054,13.651411938927986,10.811868242752483
1779277430.7622535,5.0,-5.0,4.0,0,0,0,13.699105597721855,13.729260715182974,13.651411938927986,10.811868242752483
1779277430.7642531,5.0,-5.0,4.0,0,0,0,13.699105597721855,13.729260715182974,13.651411938927986,10.811868242752483
1779277430.76725,5.0,-5.0,4.0,0,0,0,13.699105597721855,13.729260715182974,13.651411938927986,10.811939592404533
1779277430.770776,5.0,-5.0,4.0,0,0,0,13.699286697745325,13.729260715182974,13.651411938927986,10.811939592404533
1779277431.426595,5.0,-4.0,4.0,0,0,0,13.677287797576467,13.726459556601794,13.652752035037418,11.21156393902298
1779277431.4316826,5.0,-4.0,4.0,0,0,0,13.677287797576467,13.726277917488737,13.652842983408412,11.21156393902298
1779277431.436194,5.0,-4.0,4.0,0,0,0,13.677287797576467,13.726277917488737,13.652842983408412,11.21156393902298
1779277431.4403713,5.0,-4.0,4.0,0,0,0,13.677287797576467,13.726277917488737,13.652842983408412,11.211341746893318
1779277431.4448562,5.0,-4.0,4.0,0,0,0,13.677107133603618,13.726277917488737,13.652842983408412,11.211341746893318
1779277431.4483836,5.0,-4.0,4.0,0,0,0,13.677107133603618,13.726277917488737,13.652842983408412,11.211341746893318
1779277432.0970535,4.0,-4.0,4.0,0,0,0,13.680337257230894,13.722587099867074,13.633460656928063,11.591103561860624
1779277432.1008222,4.0,-4.0,4.0,0,0,0,13.680337257230894,13.722678746944572,13.633371614506665,11.591103561860624
1779277432.1038413,4.0,-4.0,4.0,0,0,0,13.680337257230894,13.722678746944572,13.633371614506665,11.591103561860624
1779277432.1068382,4.0,-4.0,4.0,0,0,0,13.680337257230894,13.722678746944572,13.633371614506665,11.59067938309571
1779277432.1088436,4.0,-4.0,4.0,0,0,0,13.680247755177298,13.722678746944572,13.633371614506665,11.59067938309571
1779277432.1118352,4.0,-4.0,4.0,0,0,0,13.680247755177298,13.722678746944572,13.633371614506665,11.59067938309571
1779277432.763691,3.0,-4.0,4.0,0,0,0,13.685094177956676,13.719170875243963,13.585047919460468,12.012452495280325
1779277432.76769,3.0,-4.0,4.0,0,0,0,13.685002907134134,13.718980738281989,13.585047919460468,12.012452495280325
1779277432.7706897,3.0,-4.0,4.0,0,0,0,13.685002907134134,13.718980738281989,13.58531703692526,12.012452495280325
1779277432.7742202,3.0,-4.0,4.0,0,0,0,13.685002907134134,13.718980738281989,13.58531703692526,12.012531804610836
1779277432.777212,3.0,-4.0,4.0,0,0,0,13.685002907134134,13.718980738281989,13.58531703692526,12.012531804610836
1779277432.7812166,3.0,-4.0,4.0,0,0,0,13.685183727575636,13.718980738281989,13.58531703692526,12.012531804610836
1779277433.434391,2.0,-4.0,4.0,0,0,0,13.690565206163152,13.715738647272588,13.487589191597488,12.427932601045818
1779277433.4386861,2.0,-4.0,4.0,0,0,0,13.690565206163152,13.715918349305396,13.487589191597488,12.427932601045818
1779277433.44269,2.0,-4.0,4.0,0,0,0,13.690565206163152,13.715918349305396,13.488103117285794,12.427932601045818
1779277433.4456902,2.0,-4.0,4.0,0,0,0,13.690565206163152,13.715918349305396,13.488103117285794,12.42776866543466
1779277433.4496887,2.0,-4.0,4.0,0,0,0,13.690575544963414,13.715918349305396,13.488103117285794,12.42776866543466
1779277433.452692,2.0,-4.0,4.0,0,0,0,13.690575544963414,13.715745558823933,13.488103117285794,12.42776866543466
1779277434.179082,1.0,-4.0,4.0,0,0,0,13.695779170480288,13.71232325230267,13.327377948749941,12.800064412221788
1779277434.183077,1.0,-4.0,4.0,0,0,0,13.695768825784983,13.71232325230267,13.327377948749941,12.800064412221788
1779277434.1860766,1.0,-4.0,4.0,0,0,0,13.695768825784983,13.71232325230267,13.327377948749941,12.800064412221788
1779277434.189379,1.0,-4.0,4.0,0,0,0,13.695768825784983,13.71232325230267,13.32772882024596,12.800064412221788
1779277434.193376,1.0,-4.0,4.0,0,0,0,13.695768825784983,13.71232325230267,13.32772882024596,12.799894616403103
1779277434.197403,1.0,-4.0,4.0,0,0,0,13.695868824997165,13.71232325230267,13.32772882024596,12.799894616403103
1779277434.91815,0.0,-4.0,4.0,0,0,0,13.700452722934237,13.707914667249234,13.099054978579602,13.114438909788923
1779277434.9211574,0.0,-4.0,4.0,0,0,0,13.700452722934237,13.707914667249234,13.099314622920422,13.114438909788923
1779277434.924153,0.0,-4.0,4.0,0,0,0,13.700452722934237,13.707914667249234,13.099314622920422,13.114438909788923
1779277434.9276686,0.0,-4.0,4.0,0,0,0,13.700361298421347,13.707914667249234,13.099314622920422,13.114438909788923
1779277434.9306686,0.0,-4.0,4.0,0,0,0,13.700361298421347,13.708006167379772,13.099314622920422,13.114438909788923
1779277434.9346666,0.0,-4.0,4.0,0,0,0,13.700361298421347,13.708006167379772,13.098969507286759,13.114438909788923
1779277435.665547,-1.0,-4.0,4.0,0,0,0,13.704403826052818,13.702704124649241,12.80688240167809,13.361693088385929
1779277435.670136,-1.0,-4.0,4.0,0,0,0,13.704403826052818,13.702704124649241,12.806712470178478,13.36142726552851
1779277435.673135,-1.0,-4.0,4.0,0,0,0,13.704495291033325,13.702704124649241,12.806712470178478,13.36142726552851
1779277435.6776285,-1.0,-4.0,4.0,0,0,0,13.704495291033325,13.702704124649241,12.806712470178478,13.36142726552851
1779277435.6809363,-1.0,-4.0,4.0,0,0,0,13.704495291033325,13.702793847172433,12.806910464085973,13.36142726552851
1779277435.6843262,-1.0,-4.0,4.0,0,0,0,13.704495291033325,13.702793847172433,12.806910464085973,13.361515318471396
1779277436.465099,-2.0,-4.0,4.0,0,0,0,13.707733396111054,13.696763694283657,12.461845947238762,13.535213799525822
1779277436.4694452,-2.0,-4.0,4.0,0,0,0,13.70747099092866,13.696944747869564,12.461423961059504,13.535035943214577
1779277436.4725895,-2.0,-4.0,4.0,0,0,0,13.70747099092866,13.696674030979787,12.461423961059504,13.535035943214577
1779277436.4765966,-2.0,-4.0,4.0,0,0,0,13.70747099092866,13.696674030979787,12.461588563047721,13.535035943214577
1779277436.4801178,-2.0,-4.0,4.0,0,0,0,13.70747099092866,13.696674030979787,12.461588563047721,13.53512402399722
1779277436.4829166,-2.0,-4.0,4.0,0,0,0,13.707914667249234,13.696674030979787,12.461588563047721,13.53512402399722
1779277437.2143807,-3.0,-4.0,4.0,0,0,0,13.710521916575901,13.690213693922582,12.077959300592818,13.63953129672003
1779277437.218387,-3.0,-4.0,4.0,0,0,0,13.710611715894132,13.689851857227511,12.077490985517587,13.63971121668055
1779277437.2213848,-3.0,-4.0,4.0,0,0,0,13.710611715894132,13.689851857227511,12.077640900489133,13.63971121668055
1779277437.2253835,-3.0,-4.0,4.0,0,0,0,13.710611715894132,13.689851857227511,12.077640900489133,13.63971121668055
1779277437.2283866,-3.0,-4.0,4.0,0,0,0,13.710611715894132,13.689851857227511,12.077640900489133,13.639620399493616
1779277437.2323856,-3.0,-4.0,4.0,0,0,0,13.71070324303019,13.689851857227511,12.077640900489133,13.639620399493616
1779277437.8783095,-4.0,-4.0,4.0,0,0,0,13.713853716660623,13.683658059925687,11.68631958411719,13.691559507714528
1779277437.88241,-4.0,-4.0,4.0,0,0,0,13.713853716660623,13.683658059925687,11.68631958411719,13.69137856089527
1779277437.8866367,-4.0,-4.0,4.0,0,0,0,13.713853716660623,13.683658059925687,11.68631958411719,13.69137856089527
1779277437.8901868,-4.0,-4.0,4.0,0,0,0,13.713853716660623,13.683738986225825,11.68631958411719,13.69137856089527
1779277437.8931968,-4.0,-4.0,4.0,0,0,0,13.713853716660623,13.683738986225825,11.686087207271033,13.69137856089527
1779277437.8961952,-4.0,-4.0,4.0,0,0,0,13.713853716660623,13.683738986225825,11.686087207271033,13.691559507714528
1779277438.5466428,-5.0,-4.0,4.0,0,0,0,13.717639520733243,13.67819117113764,11.33029291341756,13.712504614493197
1779277438.549644,-5.0,-4.0,4.0,0,0,0,13.717639520733243,13.67819117113764,11.330693797019135,13.71214189371018
1779277438.5537705,-5.0,-4.0,4.0,0,0,0,13.71763087950533,13.67819117113764,11.330693797019135,13.71214189371018
1779277438.5564923,-5.0,-4.0,4.0,0,0,0,13.71763087950533,13.678552545622443,11.330693797019135,13.71214189371018
1779277438.5598686,-5.0,-4.0,4.0,0,0,0,13.71763087950533,13.678552545622443,11.330693797019135,13.71214189371018
1779277438.5633948,-5.0,-4.0,4.0,0,0,0,13.71763087950533,13.678552545622443,11.331169955022407,13.71214189371018
1779277439.2145479,-5.0,-3.0,4.0,0,0,0,13.714660509235758,13.613748790810453,11.802595696439344,13.713853716660623
1779277439.2195492,-5.0,-3.0,4.0,0,0,0,13.714660509235758,13.613748790810453,11.802906040872678,13.71394354871416
1779277439.2225459,-5.0,-3.0,4.0,0,0,0,13.714931759561512,13.613748790810453,11.802906040872678,13.71394354871416
1779277439.2257495,-5.0,-3.0,4.0,0,0,0,13.714931759561512,13.613748790810453,11.802906040872678,13.71394354871416
1779277439.229755,-5.0,-3.0,4.0,0,0,0,13.714931759561512,13.61383764105954,11.802906040872678,13.71394354871416
1779277439.2337523,-5.0,-3.0,4.0,0,0,0,13.714931759561512,13.61383764105954,11.802672936576402,13.713763885489735
1779277439.878337,-4.0,-3.0,4.0,0,0,0,13.710521916575901,13.631943630238196,12.100848507507555,13.696501604023881
1779277439.8818405,-4.0,-3.0,4.0,0,0,0,13.710521916575901,13.632034370764018,12.100848507507555,13.696501604023881
1779277439.8851712,-4.0,-3.0,4.0,0,0,0,13.710521916575901,13.632034370764018,12.100600793963544,13.696501604023881
1779277439.8882785,-4.0,-3.0,4.0,0,0,0,13.710521916575901,13.632034370764018,12.100600793963544,13.696592989904977
1779277439.8912783,-4.0,-3.0,4.0,0,0,0,13.710521916575901,13.632034370764018,12.100600793963544,13.696592989904977
1779277439.8942792,-4.0,-3.0,4.0,0,0,0,13.710521916575901,13.632034370764018,12.100600793963544,13.696592989904977
1779277440.5374668,-3.0,-3.0,4.0,0,0,0,13.706385196951672,13.650343092075707,12.423562591079667,13.65597353407981
1779277440.5404682,-3.0,-3.0,4.0,0,0,0,13.706385196951672,13.650343092075707,12.424299952380332,13.65597353407981
1779277440.5434647,-3.0,-3.0,4.0,0,0,0,13.706385196951672,13.650343092075707,12.424299952380332,13.65597353407981
1779277440.5467696,-3.0,-3.0,4.0,0,0,0,13.706476681768827,13.650343092075707,12.424299952380332,13.65597353407981
1779277440.5498023,-3.0,-3.0,4.0,0,0,0,13.706476681768827,13.650523226007984,12.424299952380332,13.65597353407981
1779277440.55275,-3.0,-3.0,4.0,0,0,0,13.706476681768827,13.650523226007984,12.424225468460373,13.65597353407981
1779277441.2840202,-2.0,-3.0,4.0,0,0,0,13.701800046864216,13.668497915467427,12.732459565071853,13.575999669253276
1779277441.2880297,-2.0,-3.0,4.0,0,0,0,13.701800046864216,13.668497915467427,12.732543019797681,13.575911189168444
